Name,Internal Name,Antigen,Company,Trials ▼,Patents,Papers,Seq,Activity by Year,symbol
ORM-5029,nan,HER2/neu,Orum,1.0,,,nan,,ERBB2
IMGN151,nan,FRA,ImmunoGen,1.0,,,nan,,FOSL1
Lanzhou Inst.Bio.Products anti-CD52,nan,CD52,Lanzhou Inst.Bio.Products,1.0,,,nan,,CD52
INCA32459,nan,LAG-3,Incyte,1.0,2.0,,nan,,LAG3
INCA32459,nan,PD-1,Incyte,1.0,2.0,,nan,,PDCD1
PYX-201,nan,Fibronectin,Pyxis,1.0,,3.0,nan,,FN1
TQB2934,nan,BCMA,Chia Tai Tianqing Pharma,1.0,3.0,,nan,,TNFRSF17
TQB2934,nan,CD3,Chia Tai Tianqing Pharma,1.0,3.0,,nan,,CD3E
NB002,nan,TIM-3,Suzhou Neologics,1.0,3.0,,nan,,HAVCR2
SHR-2010,nan,MASP-2,Jiangsu Hengrui,1.0,3.0,1.0,nan,,MASP2
KM501,nan,HER2/neu,Xuanzhu Bio,1.0,2.0,,nan,,ERBB2
ADG206   <<,nan,4-1BB,Adagene,1.0,,,nan,,TNFRSF9
BAT2206   ••,nan,IL-12,Bio-Thera Solutions,1.0,,2.0,nan,,IL12A
BAT2206   ••,nan,IL-23,Bio-Thera Solutions,1.0,,2.0,nan,,IL23A
AZD9592,nan,cMet,"AstraZeneca, Fusion Pharma",1.0,6.0,,nan,,MET
AZD9592,nan,EGFR,"AstraZeneca, Fusion Pharma",1.0,6.0,,nan,,EGFR
JNJ-79635322,nan,Undisclosed,Janssen Biotech,1.0,,,nan,,nan
YKST02,nan,BCMA,Excyte,1.0,2.0,,nan,,TNFRSF17
YKST02,nan,CD3,Excyte,1.0,2.0,,nan,,CD3E
JMT203,nan,GFRAL,Shanghai JMT,1.0,2.0,,nan,,GFRAL
HLX15,nan,CD38,Shanghai Henlius,1.0,,,nan,,CD38
NHS76,nan,DNA/Histone H1,NCI,1.0,,1.0,nan,,HIST1H1A
PRTH-101,nan,DDR1,"Incendia, Parthenon",1.0,2.0,,nan,,DDR1
Chia Tai Tianqing Pharma trastuzumab biosimilar   ••,nan,HER2/neu,Chia Tai Tianqing Pharma,1.0,2.0,1.0,nan,,ERBB2
BAT8007,nan,Nectin-4,Bio-Thera Solutions,1.0,3.0,,nan,,NECTIN4
IMM2520,nan,CD47,ImmuneOnco,1.0,2.0,1.0,nan,,CD47
IMM2520,nan,PD-L1,ImmuneOnco,1.0,2.0,1.0,nan,,CD274
donitabart,BCD-245,GD2,Biocad,1.0,1.0,,nan,,nan
HLX51,nan,OX40,Shanghai Henlius,1.0,4.0,,nan,,TNFRSF4
TG6050,nan,CTLA4,Transgene Biotek,1.0,,,nan,,CTLA4
HFB200603,nan,BTLA,HiFiBio,1.0,2.0,,nan,,BTLA
CDX-585,nan,LILRB2,Celldex,1.0,,,nan,,LILRB2
CDX-585,nan,PD-L1,Celldex,1.0,,,nan,,CD274
ZW191,nan,FRA,Zymeworks,1.0,3.0,,nan,,FOSL1
felmetatug vedotin,"SGN-B7H4V, PF-08046048",B7-H4,Seattle Genetics,1.0,3.0,2.0,✓,,VTCN1
BA3182,nan,CD3,BioAtla,1.0,,,nan,,CD3E
BA3182,nan,EpCAM,BioAtla,1.0,,,nan,,EPCAM
CUSP06,AMT-707,CDH6,"Multitude, OnCusp",1.0,3.0,,nan,,CDH6
HBM1020,nan,HHLA2,Harbour Biomed Ltd.,1.0,2.0,,nan,,HHLA2
OT-A201,nan,Undisclosed,"Biomunex, Onward Thera",1.0,,,nan,,nan
TAVO412,nan,cMet,Tavotek,1.0,2.0,,nan,,MET
TAVO412,nan,EGFR,Tavotek,1.0,2.0,,nan,,EGFR
TAVO412,nan,VEGF,Tavotek,1.0,2.0,,nan,,VEGFA
ESG206,nan,BAFFR,Shanghai Escugen,1.0,,,nan,,TNFRSF13C
NILK-2301,nan,CD3,"LamKap, Light Chain Bio, NovImmune",1.0,3.0,1.0,nan,,CD3E
NILK-2301,nan,CEACAM5,"LamKap, Light Chain Bio, NovImmune",1.0,3.0,1.0,nan,,CEACAM5
TQB2103,nan,CLDN18,Chia Tai Tianqing Pharma,1.0,3.0,,nan,,CLDN18
AI-025,AI-061,PD-1,OncoC4,1.0,1.0,,nan,,PDCD1
ZL-1218,nan,CCR8,Zai Lab,1.0,3.0,,nan,,CCR8
caxmotabart entudotin   <<,"IKS014, LCB14-0110",HER2/neu,"Iksuda, LegoChem, Ligachem",1.0,1.0,,✓,,ERBB2
AB598,nan,CD39,"Arcus, WuXi Biologics",1.0,5.0,1.0,nan,,ENTPD1
CEL383,nan,TREM-1,Celsius,1.0,1.0,,nan,,TREM1
BA1202,nan,CD3,Shandong Boan Bio.,1.0,,,nan,,CD3E
BA1202,nan,CEACAM5,Shandong Boan Bio.,1.0,,,nan,,CEACAM5
QLS32015,nan,CD3,Qilu Pharma,1.0,,,nan,,CD3E
QLS32015,nan,GPRC5D,Qilu Pharma,1.0,,,nan,,GPRC5D
BGB-A3055,nan,Undisclosed,BeiGene,1.0,,,nan,,nan
TORL-3-600,nan,Cadherin-17,TORL Bio,1.0,,,nan,,CDH17
CPO301,nan,EGFR,Conjupro Bio,1.0,,,nan,,EGFR
ZMA001,BC-NKA-20008,Undisclosed,NIH,1.0,,,nan,,nan
EO-3021,nan,CLDN18,"Elevation Oncology,",1.0,,,nan,,CLDN18
DKTK CC-3,nan,B7-H3,German CRC,1.0,,,nan,,CD276
DKTK CC-3,nan,CD3,German CRC,1.0,,,nan,,CD3E
TORL-4-500,nan,DLK-1,TORL Bio,1.0,,,nan,,DLK1
ES009,nan,LILRB2,Elpiscience,1.0,1.0,,nan,,LILRB2
SAR443809,SAR-443809,Complement Factor B,Sanofi,1.0,,1.0,nan,,CFB
XJ101,nan,Undisclosed,Starmab,1.0,,,nan,,nan
TAVO103A,nan,IL-1β,Tavotek,1.0,,1.0,nan,,IL1B
XJ103,nan,Undisclosed,Starmab,1.0,,,nan,,nan
ADRX-0706,nan,Nectin-4,Adcentrx,1.0,1.0,,nan,,NECTIN4
forimtamig,"RO7425781, RG6234",CD3,Genentech,1.0,,1.0,✓,,CD3E
forimtamig,"RO7425781, RG6234",GPRC5D,Genentech,1.0,,1.0,✓,,GPRC5D
COM503,nan,IL-18BP,"Compugen, Gilead",1.0,3.0,,nan,,IL18BP
BSI-082,nan,SIRPA,Biosion,1.0,2.0,,nan,,SIRPA
BAT3306,nan,PD-1,Bio-Thera Solutions,1.0,,,nan,,PDCD1
JNJ-88549968,nan,Calreticulin,Janssen Biotech,1.0,1.0,,nan,,CALR
JNJ-88549968,nan,CD3,Janssen Biotech,1.0,1.0,,nan,,CD3E
AKIR001,177Lu-AKIR001,CD44v6,"Akiram, Karolinska Inst.",1.0,1.0,,nan,,CD44
GQ1005,nan,HER2/neu,GeneQuantum,1.0,1.0,,nan,,ERBB2
PF-07868489,nan,BMP9,Pfizer,1.0,2.0,,nan,,GDF2
AK132   ==,nan,CD47,Akeso,1.0,1.0,,nan,,CD47
AK132   ==,nan,CLDN18,Akeso,1.0,1.0,,nan,,CLDN18
HBM9033,SGN-MesoC2,Mesothelin,"Harbour Biomed Ltd., Pfizer, Seattle Genetics",1.0,,,nan,,MSLN
SIM0500,nan,BCMA,"Abbvie, Jiangsu Simcere",1.0,1.0,,nan,,TNFRSF17
SIM0500,nan,CD3,"Abbvie, Jiangsu Simcere",1.0,1.0,,nan,,CD3E
SIM0500,nan,GPRC5D,"Abbvie, Jiangsu Simcere",1.0,1.0,,nan,,GPRC5D
JNJ-87890387,nan,CD3,Janssen Biotech,1.0,,,nan,,CD3E
JNJ-87890387,nan,ENPP3,Janssen Biotech,1.0,,,nan,,ENPP3
ABBV-319,nan,CD19,Abbvie,1.0,6.0,1.0,nan,,CD19
HLX42,nan,EGFR,Shanghai Henlius,1.0,,,nan,,EGFR
DXC006,nan,Undisclosed,Hangzhou DAC Bio,1.0,,,nan,,nan
zifibancimig,"RO-7250284, RG6120",Angiopoietin 2,Roche,1.0,,,nan,,ANGPT2
zifibancimig,"RO-7250284, RG6120",VEGF-A,Roche,1.0,,,nan,,VEGFA
LNF1901,nan,CD40,Shandong New Time Pharma,1.0,,,nan,,CD40
BG-C9074,nan,B7-H4,BeiGene,1.0,,,nan,,VTCN1
NPX887,nan,HHLA2,NextPoint Thera,1.0,,,nan,,HHLA2
SPX-303,nan,LILRB2,Sparx,1.0,,,nan,,LILRB2
SPX-303,nan,PD-L1,Sparx,1.0,,,nan,,CD274
JNJ-79032421,nan,CD3,Janssen Biotech,1.0,1.0,,nan,,CD3E
JNJ-79032421,nan,Mesothelin,Janssen Biotech,1.0,1.0,,nan,,MSLN
XmAb541,nan,CD3,Xencor,1.0,,,nan,,CD3E
XmAb541,nan,CLDN6,Xencor,1.0,,,nan,,CLDN6
ABD-147,225Ac-ABD147,DLL3,Abdera,1.0,3.0,,nan,,DLL3
SAIL66,SAIL-66,4-1BB,Chugai,1.0,1.0,1.0,nan,,TNFRSF9
SAIL66,SAIL-66,CD3,Chugai,1.0,1.0,1.0,nan,,CD3E
SAIL66,SAIL-66,CLDN6,Chugai,1.0,1.0,1.0,nan,,CLDN6
NBL-028   ==,nan,4-1BB,"CSPC Pharma, NovaRock",1.0,1.0,,nan,,TNFRSF9
NBL-028   ==,nan,CLDN6,"CSPC Pharma, NovaRock",1.0,1.0,,nan,,CLDN6
BAY3630942,nan,Undisclosed,Bayer,1.0,,,nan,,nan
BYON4413,nan,IL-3Rα,Byondis,1.0,,,nan,,IL3RA
SM17,nan,IL-17RB,SinoMab,1.0,1.0,1.0,nan,,IL17RB
BITR2101,nan,TNFR2,"BeiGene, Bosotom Immune",1.0,,,nan,,TNFRSF1B
MTX-463,nan,WISP-1,Mediar,1.0,2.0,,nan,,WISP1
MTX-474,nan,EphB2,Mediar,1.0,,,nan,,EPHB2
LY4170156,nan,FRA,Lilly,1.0,,,nan,,FOSL1
FTL008.16,nan,4-1BB,Sound Biologics,1.0,,,nan,,TNFRSF9
FTL008.16,nan,TPBG,Sound Biologics,1.0,,,nan,,TPBG
IBI-3002,IBI3002,IL-4Rα,Innovent,1.0,2.0,,nan,,IL4R
IBI-3002,IBI3002,TSLP,Innovent,1.0,2.0,,nan,,TSLP
IBI-345,IBI345,CLDN18,Innovent,1.0,,,nan,,CLDN18
BGB-C354,nan,B7-H3,BeiGene,1.0,4.0,,nan,,CD276
satricabtagene autoleucel,CT041,CLDN18,Peking U. Cancer Hosp.,1.0,,1.0,nan,,CLDN18
PHN-010,nan,Undisclosed,Pheon,1.0,,,nan,,nan
LY4052031,nan,Nectin-4,Lilly,1.0,,,nan,,NECTIN4
DNP002,nan,CEACAM6,Kumho,1.0,1.0,,nan,,CEACAM6
UB-312,nan,Alpha-synuclein,Vaxxinity,1.0,,1.0,nan,,SNCA
GNR-068,nan,IL-12,IBC Generium,1.0,,,nan,,IL12A
GNR-068,nan,IL-23,IBC Generium,1.0,,,nan,,IL23A
IBR854,nan,TPBG,Imbioray,1.0,1.0,,nan,,TPBG
QLS4131,nan,Undisclosed,Qilu Pharma,1.0,,,nan,,nan
PF-08046054,SGN-PDL1V,PD-L1,"Pfizer, Seattle Genetics",1.0,,,nan,,CD274
PF-08046050,SGN-CEACAM5C,CEACAM5,"Pfizer, Seattle Genetics",1.0,,,nan,,CEACAM5
BC3195,nan,P-cadherin,BioCity,1.0,,,nan,,CDH3
SY001,nan,Mesothelin,CellOrigin Bio,1.0,,,nan,,MSLN
SHR-2004,nan,Factor XI,Jiangsu Hengrui,1.0,,1.0,nan,,F11
GEN1057,nan,Undisclosed,Genmab,1.0,,,nan,,nan
QXL138AM,nan,Syndecan 1,Nammi,1.0,,,nan,,SDC1
SHR-4849,IDE849,DLL3,"Ideaya Bio, Jiangsu Hengrui, Suzhou Suncadia",1.0,2.0,,nan,,DLL3
IBI3009,IBI-3009,DLL3,"Innovent, Roche",1.0,,,nan,,DLL3
HB0056,nan,Undisclosed,Huabo Biopharm,1.0,1.0,,nan,,nan
SAR446523,nan,GPRC5D,Sanofi,1.0,4.0,,nan,,GPRC5D
Anitocabtagene autoleucel,ACLX-001,BCMA,Arcellx,1.0,,,nan,,TNFRSF17
BG-C137,nan,FGFR2,BeiGene,1.0,2.0,,nan,,FGFR2
IM-1021,nan,ROR1,Immunome,1.0,,,nan,,ROR1
IMP761,nan,LAG-3,Immutep,1.0,,,nan,,LAG3
M3554,nan,GD2,Merck Serono,1.0,2.0,,nan,,nan
ALIA-1758,nan,Amyloid beta,"Abbvie, Aliada",1.0,,,nan,,APP
ALIA-1758,nan,TfR,"Abbvie, Aliada",1.0,,,nan,,TFRC
ADRX-0405,nan,STEAP1,Adcentrx,1.0,,,nan,,STEAP1
CDX-622,nan,SCF,Celldex,1.0,,1.0,nan,,KITLG
CDX-622,nan,TSLP,Celldex,1.0,,1.0,nan,,TSLP
AK137,nan,LAG-3,Akeso,1.0,,,nan,,LAG3
AK137,nan,NT5E,Akeso,1.0,,,nan,,NT5E
PRX019,nan,Undisclosed,"BMS, Prothena",1.0,,,nan,,nan
TQB2029,nan,CD3,Chia Tai Tianqing Pharma,1.0,,,nan,,CD3E
TQB2029,nan,GPRC5D,Chia Tai Tianqing Pharma,1.0,,,nan,,GPRC5D
MGC028,nan,ADAM9,MacroGenics,1.0,,,nan,,ADAM9
JNJ-87801493,nan,CD20,Janssen Biotech,1.0,,,nan,,MS4A1
JNJ-87801493,nan,CD28,Janssen Biotech,1.0,,,nan,,CD28
CS2009,nan,CTLA4,CStone Pharma,1.0,,,nan,,CTLA4
CS2009,nan,PD-1,CStone Pharma,1.0,,,nan,,PDCD1
CS2009,nan,VEGF-A,CStone Pharma,1.0,,,nan,,VEGFA
DAY301,nan,PTK7,Day One,1.0,,,nan,,PTK7
BAY 3547926,BAY3547926,GPC4,Bayer,1.0,,,nan,,GPC4
SYS6010,"SYS-6010, CPO301",EGFR,CSPC Dophen,1.0,,,nan,,EGFR
GB268,nan,CTLA4,Genor,1.0,1.0,,nan,,CTLA4
GB268,nan,PD-1,Genor,1.0,1.0,,nan,,PDCD1
GB268,nan,VEGF,Genor,1.0,1.0,,nan,,VEGFA
NN3201,nan,CK8,Novelty Nobility,1.0,,,nan,,KRT8
AT03,"AT-03-65, AT65474",CLDN6,Axcynsis,1.0,,,nan,,CLDN6
IBI356,nan,OX40L,Innovent,1.0,1.0,,nan,,TNFSF4
PF-08046032,nan,IL-2Rα,"Pfizer, Seattle Genetics",1.0,,1.0,nan,,IL2RA
EOS006215,EOS-215,TREM-2,iTeos,1.0,1.0,,nan,,TREM2
KH815,nan,Undisclosed,Chengdu Kanghong,1.0,,,nan,,nan
TQB2210,nan,FGFR2,Chia Tai Tianqing Pharma,1.0,,,nan,,FGFR2
AK146D1,nan,Nectin-4,Akeso,1.0,,,nan,,NECTIN4
AK146D1,nan,TACSTD-2,Akeso,1.0,,,nan,,TACSTD2
QLS5132,nan,CLDN6,Qilu Pharma,1.0,,,nan,,CLDN6
JST-010,nan,Undisclosed,Just-Evotec,1.0,,,nan,,nan
SSS59,nan,MUC17,Shenyang Sunshine Pharma,1.0,,,nan,,MUC17
OX118,nan,OX40L,Oxion Bio,1.0,1.0,,nan,,TNFSF4
DR-0202,nan,Undisclosed,"Dren, Novartis",1.0,,,nan,,nan
P1801,nan,PD-1,Pharmaessentia,1.0,1.0,,nan,,PDCD1
CT1192,nan,CD19,Carsgen,1.0,,,nan,,CD19
CT1192,nan,CD20,Carsgen,1.0,,,nan,,MS4A1
TQB6411,nan,cMet,Chia Tai Tianqing Pharma,1.0,,,nan,,MET
TQB6411,nan,EGFR,Chia Tai Tianqing Pharma,1.0,,,nan,,EGFR
LY4175408,nan,PTK7,Lilly,1.0,,,nan,,PTK7
GB-7624,nan,IL-13,Generate Bio,1.0,2.0,,nan,,IL13
OM336,nan,BCMA,Ouro,1.0,,,nan,,TNFRSF17
OM336,nan,CD3,Ouro,1.0,,,nan,,CD3E
ALX2004,nan,EGFR,ALX Oncology,1.0,,,nan,,EGFR
AL101,GSK4527226,GP88,"Alector, GSK",1.0,,1.0,nan,,PGRMC1
LY4152199,nan,BAFFR,Lilly,1.0,,,nan,,TNFRSF13C
LY4152199,nan,CD3,Lilly,1.0,,,nan,,CD3E
TQB2825,nan,CD20,Chia Tai Tianqing Pharma,1.0,,,nan,,MS4A1
TQB2825,nan,CD3,Chia Tai Tianqing Pharma,1.0,,,nan,,CD3E
ALX-0141,EDP 406,RANKL,"Ablynx, Eddingpharm",,2.0,,✓,,TNFSF11
vorsetuzumab   >>   ==,"SGN-70, h1F6",CD70,Seattle Genetics,,29.0,4.0,✓,,CD70
CDP484,IC8,IL-1β,"Celltech, UCB",,3.0,,✓,,IL1B
1D09C3,MS-GPC-8-27-4.1,HLA-DR β,"GPC Biotech, Morphosys",,2.0,3.0,nan,,HLA-DRB1
ABX-PTH,ABX10241,PTH,Abgenix,,2.0,,nan,,PTH
PF-04840082,TAM-163,DKK1,"Pfizer, Rinat",,5.0,1.0,?,,DKK1
MDX-1097   >>,"K121, KappaMab",KMA,"IST, Medarex, Monash U.",,5.0,4.0,nan,,nan
BI 1034020,BI1034020,Amyloid beta,"Ablynx, Boehringer",,2.0,,nan,,APP
ONS-3010   ••,nan,TNF-alpha,Oncobiologics,,,,nan,,TNF
ONS-1045   ••,nan,VEGF-A,Oncobiologics,,,,nan,,VEGFA
ZW49   <<,nan,HER2/neu,Zymeworks,,,,nan,,ERBB2
varlilumab   ==,"1F5, CDX-1127",CD27,Celldex,13.0,22.0,8.0,✓,,CD27
conatumumab,"AMG 655, XG1-048, TRAIL-R2 mAb",DR5,"Amgen, Millennium",11.0,10.0,15.0,✓,,TNFRSF10B
monalizumab   <<,"IPH 2201, NN8765, NNC141-0100",NKG2A,"AstraZeneca, Innate, Novo Nordisk",11.0,26.0,11.0,✓,,KLRC1
AK117,nan,CD47,Akeso,10.0,4.0,1.0,nan,,CD47
cetrelimab,JNJ-63723283,PD-1,Janssen Biotech,9.0,8.0,3.0,✓,,PDCD1
Immunomedics TF2   ==,TF2,CEACAM5,Immunomedics,8.0,2.0,5.0,nan,,CEACAM5
labetuzumab   >>   ==,"CEA-Cide, hMN14, hMN-14",CEACAM5,Immunomedics,6.0,30.0,9.0,✓,,CEACAM5
milatuzumab   >>,"MEDI-115, hLL1, IMMU-115",MHC,Immunomedics,6.0,53.0,15.0,✓,,HLA-A
F16-IL2,"F16IL2, Teleukin",Tenascin C,"Philochem, Philogen",6.0,19.0,,nan,,TNC
ulocuplumab,"MDX-1338, BMS-936564, F7",CXCR4,Medarex,6.0,14.0,3.0,✓,,CXCR4
elgemtumab,"LJM716, MOR09825",HER3,"Ariad, Morphosys, Novartis",6.0,17.0,4.0,?,,ERBB3
mezagitamab,"TAK 079, TAK-079",CD38,Takeda,6.0,35.0,4.0,✓,,CD38
MEDI6469   ==,nan,OX40,"AgonOx, Medimmune",6.0,3.0,1.0,nan,,TNFRSF4
STI-6129   ==,LNDS1001,CD38,Sorrento,6.0,21.0,,nan,,CD38
Chinese PLA Gen.Hosp. anti-PD-1,nan,PD-1,Chinese PLA Gen.Hosp.,6.0,,,nan,,PDCD1
greziprubart,STSA-1002,C5,Staidson,6.0,4.0,,✓,,C5
briquilimab,"JSP191, AMG191, AMG 191",c-Kit,"Amgen, Jasper",5.0,11.0,3.0,✓,,KIT
LY3022855,IMC-CS4,CSF-1R,ImClone,5.0,6.0,3.0,✓,,CSF1R
MDX-1105,"BMS-936559, 12A4",PD-L1,Medarex,5.0,39.0,5.0,?,,CD274
mitazalimab,"B44, JNJ-64457107, JNJ-7107, ADC-1013, vanalimab",CD40,"Alligator, BioInvent, Janssen Biotech",5.0,29.0,5.0,✓,,CD40
vunakizumab,SHR-1314,IL-17,"Jiangsu Hengrui, Shanghai Hengrui, Suzhou Suncadia",5.0,5.0,3.0,✓,,IL17A
lancastotug,AK127,TIGIT,Akeso,5.0,1.0,,✓,,TIGIT
indatuximab ravtansine,"BT-062, BT062, B-B4",Syndecan 1,"Biotest, ImmunoGen",4.0,16.0,7.0,✓,,SDC1
lucatumumab   ==,"HCD122, CHIR-12.12, 5H7",CD40,"Novartis, Xoma",4.0,74.0,5.0,✓,,CD40
ozoralizumab   ==,ATN-103,TNF-alpha,"Ablynx, Pfizer, Taisho Pharma",4.0,15.0,8.0,✓,,TNF
81C6,Neuradiab,Tenascin C,"Bradmer, Duke U.",4.0,2.0,,nan,,TNC
nadunolimab   ==,"CAN04, nidanilimab",IL-1RAP,Cantargia,4.0,34.0,4.0,✓,,IL1RAP
FOR46,"YS5FL, YS5",CD46,"Fortis, U.California",4.0,22.0,3.0,nan,,CD46
renvistobart,"BMS-986207, 22G2",TIGIT,"BMS, Ono",4.0,9.0,1.0,nan,,TIGIT
pivekimab sunirine,IMGN632,IL-3Rα,"ImmunoGen, Jazz Pharma, Mythic Thera",4.0,23.0,6.0,✓,,IL3RA
ALLO-647,nan,CD52,Allogene,4.0,,,nan,,CD52
nezastomig,REGN5678,CD28,Regeneron,4.0,12.0,2.0,✓,,CD28
nezastomig,REGN5678,PSMA,Regeneron,4.0,12.0,2.0,✓,,FOLH1
AK119,nan,NT5E,Akeso,4.0,9.0,,nan,,NT5E
emfizatamab,GNC-038,4-1BB,"Sichuan Baili Pharma, Systimmune",4.0,1.0,,nan,,TNFRSF9
emfizatamab,GNC-038,CD19,"Sichuan Baili Pharma, Systimmune",4.0,1.0,,nan,,CD19
emfizatamab,GNC-038,CD3,"Sichuan Baili Pharma, Systimmune",4.0,1.0,,nan,,CD3E
emfizatamab,GNC-038,PD-L1,"Sichuan Baili Pharma, Systimmune",4.0,1.0,,nan,,CD274
sabestomig,AZD7789,PD-1,AstraZeneca,4.0,1.0,,nan,,PDCD1
sabestomig,AZD7789,TIM-3,AstraZeneca,4.0,1.0,,nan,,HAVCR2
nebratamig,GNC-035,4-1BB,"Sichuan Baili Pharma, Systimmune",4.0,,,nan,,TNFRSF9
nebratamig,GNC-035,CD3,"Sichuan Baili Pharma, Systimmune",4.0,,,nan,,CD3E
nebratamig,GNC-035,PD-L1,"Sichuan Baili Pharma, Systimmune",4.0,,,nan,,CD274
nebratamig,GNC-035,ROR1,"Sichuan Baili Pharma, Systimmune",4.0,,,nan,,ROR1
cugrastomig,AK129,LAG-3,Akeso,4.0,3.0,,✓,,LAG3
cugrastomig,AK129,PD-1,Akeso,4.0,3.0,,✓,,PDCD1
BT02,nan,Undisclosed,Shanghai Biotroy,4.0,,,nan,,nan
modakafusp alfa,TAK-573,CD38,Takeda,4.0,,1.0,nan,,CD38
efungumab,Mycograb,HSP90,"NeuTec, Novartis",3.0,8.0,1.0,✓,,HSP90AA1
intetumumab   >>,CNTO 95,Integrin αV,Centocor Ortho,3.0,23.0,9.0,✓,,ITGAV
tarextumab   ==,"OMP-59R5, 59M07, 13M57",Notch2,"GSK, OncoMed",3.0,27.0,3.0,✓,,NOTCH2
tarextumab   ==,"OMP-59R5, 59M07, 13M57",Notch3,"GSK, OncoMed",3.0,27.0,3.0,✓,,NOTCH3
bexmarilimab,"FP-1305, FP-1302, Clevergen",STAB1,Faron,3.0,9.0,4.0,✓,,STAB1
BMS-986178   ==,BMS986178,OX40,"BMS, Pfizer",3.0,17.0,4.0,✓,,TNFRSF4
BI-1206   ==,nan,Fc-gamma-R2B (CD32b),"BioInvent, CASI, U.Southampton",3.0,12.0,1.0,nan,,FCGR2B
ANX005,ANX007,C1q,Annexon,3.0,28.0,,nan,,C1QA
NP137,Netris patent anti-Netrin 1,Netrin 1,Netris,3.0,15.0,2.0,nan,,NTN1
surzebiclimab,BGB-A425,TIM-3,BeiGene,3.0,8.0,,nan,,HAVCR2
ragifilimab   ==,"INCAGN1876, INCAGN01876, AGEN1876, CM701",GITR,"4-Antibody, Agenus, Incyte, Ludwig Inst., Sloan-Kettering",3.0,26.0,1.0,✓,,TNFRSF18
Ningbo Cancer Hosp. anti-PD-1 CAR,HerinCAR-PD1,PD-1,Ningbo Cancer Hosp.,3.0,,,nan,,PDCD1
INCAGN1949   ==,INCAGN01949,OX40,"Agenus, Incyte, Ludwig Inst., Sloan-Kettering",3.0,21.0,,nan,,TNFRSF4
HMBD-001,10D1F,HER3,"Cancer Research Technology, Hummingbird Bio",3.0,6.0,2.0,nan,,ERBB3
KD6001,nan,CTLA4,Kanda Bio,3.0,2.0,,nan,,CTLA4
enristomig,"ES101, INBRX-105",4-1BB,"Elpiscience, Inhibrx",3.0,1.0,,✓,,TNFRSF9
enristomig,"ES101, INBRX-105",PD-L1,"Elpiscience, Inhibrx",3.0,1.0,,✓,,CD274
plonmarlimab,"TJ003234, TJM2",GM-CSF,I-Mab Biopharma,3.0,9.0,1.0,✓,,CSF2
ADG106   >>,nan,4-1BB,Adagene,3.0,22.0,1.0,nan,,TNFRSF9
PE0116,PEO116,4-1BB,"ChemPartner, Jiangsu Hyamab",3.0,3.0,,nan,,TNFRSF9
DKTK CC-1   <<,CC-1,CD3,German CRC,3.0,,2.0,nan,,CD3E
DKTK CC-1   <<,CC-1,PSMA,German CRC,3.0,,2.0,nan,,FOLH1
SCT510A   ••,nan,VEGF,Sinocelltech,3.0,5.0,2.0,nan,,VEGFA
IMM0306,nan,CD20,ImmuneOnco,3.0,,,nan,,MS4A1
IMM0306,nan,CD47,ImmuneOnco,3.0,,,nan,,CD47
vilamakitug,"Hutukrin, XB2001",IL-1α,XBiotech,3.0,,2.0,nan,,IL1A
RC118,nan,CLDN18,RemeGen,3.0,,,nan,,CLDN18
BAT6026,nan,OX40,Bio-Thera Solutions,3.0,6.0,1.0,nan,,TNFRSF4
S095029,nan,NKG2A,Les Laboratoires Servier,3.0,3.0,,nan,,KLRC1
BL-M02D1-ADC,nan,TACSTD-2,Systimmune,3.0,2.0,,nan,,TACSTD2
BC3402,nan,TIM-3,"AstraZeneca, BioCity",3.0,,,nan,,HAVCR2
KB001,1A8,PcrV,KaloBios,2.0,4.0,2.0,nan,,nan
KRN330,nan,A33,KHK,2.0,4.0,1.0,nan,,GPA33
FFP104,"PG102, CH5D12, FFP102",CD40,"Diabetes-Free, Fast Forward Pharma, PanGenetics",2.0,8.0,1.0,nan,,CD40
samalizumab,"Anti-CD200, ALXN6000",CD200,Alexion,2.0,42.0,5.0,✓,,CD200
stamulumab,MYO-029,Myostatin,"Pfizer, Wyeth",2.0,41.0,3.0,?,,MSTN
TB-403   ==,"RG7334, 16D3",PLGF,"BioInvent, Oncurious, Roche, Thrombogenics",2.0,12.0,3.0,nan,,PGF
TRX518,nan,GITR,"GITR, Leap Thera, Tolerx",2.0,10.0,3.0,nan,,TNFRSF18
ocaratuzumab,"AME 33, AME-133v, LY2469298",CD20,"AME, Lilly, Mentrik",2.0,3.0,4.0,✓,,MS4A1
PRO131921,nan,CD20,Genentech,2.0,,1.0,nan,,MS4A1
REGN846,SAR302352,Undisclosed,"Regeneron, Sanofi",2.0,,,nan,,nan
BMS-986148,6A4,Mesothelin,BMS,2.0,15.0,2.0,✓,,MSLN
vandortuzumab vedotin,"RG7450, 89Zr-DFO-MSTP2109A, DSTP3086S",STEAP1,"Genentech, Seattle Genetics",2.0,18.0,4.0,✓,,STEAP1
TL011   ••,nan,CD20,Teva,2.0,,,nan,,MS4A1
SFN68,"YYB-101, YYB101",HGF/SF,"Yonsei U., Yooyoung Pharma",2.0,1.0,3.0,nan,,HGF
AO-176,nan,CD47,"Arch Oncology, BioAtla, Tioma",2.0,38.0,2.0,nan,,CD47
avizakimab,"9F11, 19E3, MEDI7169, BOS161721",IL-21,"Boston Pharma, Medimmune",2.0,8.0,2.0,✓,,IL21
JCAR014   ==,nan,CD19,Juno,2.0,,1.0,nan,,CD19
